Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
CirclesRandomSize,9.515768923805984e-2,9.378321193033393e-2,9.97159193905148e-2,3.3410195403674125e-3,6.024678879161672e-4,5.137962741842728e-3
CirclesUniformSize,8.81397612297407e-2,8.690978581407315e-2,8.981430930256601e-2,2.382149548137877e-3,1.397338456992377e-3,3.6056511862942535e-3
FillText,8.78168571206007e-2,8.670952550223064e-2,8.956582760902163e-2,2.172735012846575e-3,1.5012554689240632e-3,2.9495404197436774e-3
ImageMark,0.32955393959381174,0.3236773167605827,0.3355332264029537,6.459229129008021e-3,3.8436883077268558e-3,9.133170140468449e-3
StaticAsteroids,0.1578551109250433,0.1544681236919885,0.16230458185913288,5.199559548467781e-3,3.0293338425584145e-3,7.4334829488693676e-3
Rave,3.906867233126405e-2,3.8628329454026875e-2,3.94513450060609e-2,7.901395888389642e-4,5.897200276803832e-4,1.1222804210820234e-3
IsPointInPath,2.766211675122658,2.7296186858823024,2.7889667679368917,3.439763112283994e-2,0.0,3.941297688519903e-2
MeasureText,2.4366925978711964,2.369322867408916,2.4935991971751545,9.086941640100146e-2,0.0,9.856512128042023e-2
ToDataURL,2.3072873605478314e-2,2.1462106734532863e-2,2.8080727443775932e-2,5.971594551879891e-3,1.5919101705791077e-3,1.1547564769307232e-2
