Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
CirclesRandomSize,8.96562492259661e-2,8.848903972882678e-2,9.162792068783794e-2,2.628248197590446e-3,1.6127766427379857e-3,3.74144825107928e-3
CirclesUniformSize,7.974696277090587e-2,7.754937918283102e-2,8.414563582523932e-2,4.686188467884479e-3,2.7833334409274476e-3,6.496331235305399e-3
FillText,9.30250602521188e-2,9.156333325956943e-2,9.533761526331987e-2,2.808295028859287e-3,1.557396802628429e-3,4.527796512331255e-3
ImageMark,0.12651433920816665,0.1251647419068774,0.12871854767232493,2.572512310713148e-3,1.2087793222542846e-3,3.8684001765097297e-3
StaticAsteroids,0.1617028148437157,0.15730681263605012,0.16466622624682317,5.115377789813656e-3,2.605619930898143e-3,7.87939887852961e-3
Rave,4.118630910615696e-2,4.04948751850913e-2,4.221023471172419e-2,1.6805181218960356e-3,1.0932416157627856e-3,2.350256719871061e-3
IsPointInPath,6.46729573584485,6.043806405853291,7.161609049477518,0.606118726084055,1.0877919644084146e-15,0.6453636571973228
MeasureText,5.582707669070158,5.359117538142853,5.999688373716286,0.3614314379647735,0.0,0.36983374435334554
ToDataURL,0.2578918899239881,0.2529632455921199,0.26492065653124247,6.690429788150488e-3,2.3495513008895963e-3,8.66918837488915e-3
