Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
CirclesRandomSize,8.583915201526605e-3,8.350995460666553e-3,8.815267454181973e-3,4.1416678952407583e-4,3.437241024441361e-4,5.519915505366985e-4
CirclesUniformSize,8.379986705005348e-3,8.312342341619655e-3,8.584864812248032e-3,1.8957656944584782e-4,5.811674136027605e-5,3.3912940869320496e-4
FillText,1.7306417111754832e-2,1.6940786707278895e-2,1.814399013459839e-2,1.0040929032773362e-3,3.491306656469902e-4,1.732939821691214e-3
ImageMark,3.203595246814626e-2,1.120987342144109e-2,0.142367181443514,6.365295937137626e-2,1.454007350034477e-3,0.11393451223678962
StaticAsteroids,6.7396664615549775e-3,6.616091455864654e-3,6.797704056460581e-3,1.4314253271504728e-4,5.913053672527906e-5,2.3449932753040603e-4
Rave,6.254650942879129e-3,6.20202393096662e-3,6.315167326136862e-3,9.833670080098671e-5,6.799055710729918e-5,1.3985959626373006e-4
IsPointInPath,8.388626308367115e-3,8.26528698635947e-3,8.678250671330334e-3,3.2088491745028454e-4,1.0189980254844588e-4,5.353074833854114e-4
MeasureText,8.451419121682867e-3,8.277006036154848e-3,8.718533785192316e-3,3.9285309973441634e-4,1.6296002183393237e-4,5.565087395284909e-4
ToDataURL,1.3744167782190961e-2,1.3656366662191199e-2,1.3829441392198057e-2,1.637207874487836e-4,1.2836714170832425e-4,2.1889712951704354e-4
