Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
CirclesRandomSize,0.1294802505741015,0.12752798133969798,0.131562665432177,2.926227490876998e-3,2.3795877576876065e-3,3.7018954852874575e-3
CirclesUniformSize,0.11954795027499178,0.11873569966677557,0.12032346436743273,1.1543964917935898e-3,7.765892579457146e-4,1.5188921826281292e-3
FillText,0.9494835220732333,0.9471366385290515,0.9511479168281385,2.5100219639423386e-3,0.0,2.8828162793471603e-3
ImageMark,0.30357111675104853,0.30104032675724046,0.30828576199601776,4.677445467981888e-3,9.606525183852228e-5,5.748543884911574e-3
StaticAsteroids,0.19670396320709077,0.19477886111435025,0.19789102948171503,1.85412841549097e-3,1.0555497870764561e-3,2.5148068532465373e-3
Rave,3.371030686609143e-2,3.348731802037603e-2,3.4074365103753154e-2,5.827154453797263e-4,3.4263948992594394e-4,9.530084209981645e-4
IsPointInPath,1.968474513184353,1.9329784197935165,1.9967474945521086,4.406753604662981e-2,0.0,4.897024021040138e-2
MeasureText,2.1610835291566444,2.009895764529301,2.2657745185291485,0.15736289233011083,0.0,0.18133011268783022
