Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
CirclesRandomSize,1.639078737512731e-2,1.5904451516273403e-2,1.662023133315339e-2,5.863104417931238e-4,3.001412879191699e-4,9.302686871383691e-4
CirclesUniformSize,1.5786548100746603e-2,1.4915840106483903e-2,1.639053400824309e-2,1.3534301519911637e-3,9.987636441576827e-4,1.6543122223941237e-3
FillText,1.892037786954614e-2,1.8552415774993992e-2,1.964245320599225e-2,9.585839915983021e-4,4.91846453881178e-4,1.562373831954966e-3
ImageMark,1.3376667837211689e-2,1.244044389354934e-2,1.4984761792161664e-2,2.17391373168406e-3,1.3216577213218362e-3,3.2547838772092265e-3
StaticAsteroids,8.918103600882493e-3,8.723121074167799e-3,9.100530627047602e-3,3.522262044717081e-4,2.765701018256233e-4,4.277180066293929e-4
Rave,8.151830556613192e-3,7.954986141140263e-3,8.346485354658014e-3,3.5006095618002217e-4,2.7488242934159055e-4,4.476046556808082e-4
IsPointInPath,1.4196463894355181e-2,1.3696731878543133e-2,1.4942140436278546e-2,1.0859136587393283e-3,3.5580588558301415e-4,1.495243902542539e-3
MeasureText,8.66873266052315e-3,8.41302407212431e-3,9.265082063557873e-3,6.588518952981878e-4,2.55623885401438e-4,1.1393571456308064e-3
ToDataURL,0.1372057181242494,0.13640123102762397,0.13821802176489742,1.853742828095113e-3,1.26177824134092e-3,2.6927674574823593e-3
