Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
CirclesRandomSize,4.3333044508777244e-2,4.284246219146123e-2,4.4261799686850845e-2,1.2054982444269907e-3,6.205420318070005e-4,1.96443471363752e-3
CirclesUniformSize,4.087385458561898e-2,4.010445378510544e-2,4.217751262089961e-2,1.9132470415248878e-3,1.0647408866410546e-3,2.9972263290291017e-3
FillText,8.802346281324783e-2,8.7023848551099e-2,8.905496941164738e-2,1.9666278991788406e-3,1.4603163755582593e-3,2.5998638181819033e-3
ImageMark,0.6309430324176268,0.6191243931127535,0.6531665068140726,2.9078852597620337e-2,1.424110663884287e-2,4.7795916213758914e-2
StaticAsteroids,2.780846434885508e-2,2.7470180998249848e-2,2.805906294100891e-2,5.395042153598876e-4,3.726598574278645e-4,7.523962177973856e-4
Rave,2.3049283159417674e-2,2.243496847696791e-2,2.368476680661656e-2,1.1978939850945773e-3,8.770831761098404e-4,1.637118073359821e-3
IsPointInPath,3.4092712678620254e-2,3.378648750129763e-2,3.444448412967121e-2,6.416120813774794e-4,4.3592072735775607e-4,8.685718115174748e-4
MeasureText,3.116937654289281e-2,3.075828297950167e-2,3.183923614817509e-2,9.653470159210306e-4,4.921170379809058e-4,1.5736525353960097e-3
ToDataURL,2.3722938023255633e-2,2.3286801480444222e-2,2.4240586050338513e-2,9.288494334190795e-4,6.090478021768829e-4,1.3804132206154773e-3
