Name,Mean
CirclesRandomSize,0.09884
CirclesUniformSize,0.090985
FillText,0.11208
ImageMark,0.019975
StaticAsteroids,0.02108191
Rave,0.0461892
IsPointInPath,0.0078072
MeasureText,0.048212
