Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
CirclesRandomSize,7.735955633878151e-2,7.348299406437726e-2,8.391276361551556e-2,9.537341862052398e-3,6.029720668298349e-3,1.1627543831629507e-2
CirclesUniformSize,7.080333358216656e-2,7.00807208687016e-2,7.181390119924715e-2,1.5929470988632058e-3,1.1238179694759045e-3,1.9136187671435364e-3
FillText,0.9136037528604372,0.911397414398489,0.9160235817499344,4.492528914876819e-3,2.8799136194941344e-3,7.1465567085889315e-3
ImageMark,0.23318402641376912,0.22868167077778448,0.24590834914204268,1.3428649422167135e-2,5.218347437308733e-3,2.3444220107256077e-2
StaticAsteroids,6.744487461855417e-2,6.649435899430241e-2,6.777369064470741e-2,1.0507384226959118e-3,1.8237916155668365e-4,1.8405680930853195e-3
Rave,1.0265351473127097e-2,1.0216723369676425e-2,1.031590025885022e-2,9.230276280320692e-5,5.9055094666045717e-5,1.3942608823188434e-4
IsPointInPath,5.171337569112756e-2,4.7186441936463416e-2,5.692868357433922e-2,9.26018788264602e-3,8.583167766880073e-3,9.66401363789573e-3
MeasureText,3.200212982125035e-2,3.184500569850696e-2,3.224849043895899e-2,3.7408315971786045e-4,2.9138286154595645e-4,5.120880510563878e-4
ToDataURL,3.160642232540048e-2,3.1495957990265805e-2,3.176418804949943e-2,2.5490024730732513e-4,1.5572044936717068e-4,3.7031492611762855e-4
