Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"Bezier",8.257802790213714e-2,8.028735941458832e-2,8.449055021811615e-2,1.0661408414890328e-2,7.2515343243484956e-3,1.615538561772872e-2
"CirclesRandomSize",0.634367590604316,0.6315318137984384,0.637775748429786,1.591216492012119e-2,1.3279774881020957e-2,2.0623568001720896e-2
"CirclesUniformSize",0.5214045221190561,0.5183328110556711,0.5251693064551461,1.7386259775265558e-2,1.4346236490768207e-2,2.137098766672222e-2
"FillText",4.95834977011789e-2,4.8501756845008244e-2,5.121468370963227e-2,6.711607088368574e-3,5.034455725590016e-3,9.341512716573595e-3
"ImageMark",2.3074043450843202e-2,2.249438589621674e-2,2.3739679513465273e-2,3.188837735266777e-3,2.8011919787433886e-3,3.669399712671141e-3
"StaticAsteroids",0.17646272009421476,0.17517894810248502,0.1780160862784494,7.231361317843555e-3,6.015556799983344e-3,9.40314843953963e-3
"IsPointInPath",3.7020526586066596e-2,3.6742332635413516e-2,3.738957232047211e-2,1.6347010260577975e-3,1.2838863136879772e-3,2.1653360291633474e-3
"MeasureText",0.8502619559149851,0.8473727113585581,0.85510021990348,1.8752821491009306e-2,1.2129786795877609e-2,2.711616176687078e-2
"Rave",2.3960307298194275e-2,2.3350368199836123e-2,2.5212975202094423e-2,4.298382688748625e-3,2.523975572152192e-3,8.1942574472023e-3
