Name,Mean
Bezier,0.08341
CirclesRandomSize,0.04309
CirclesUniformSize,0.04084
FillText,0.03835
ImageMark,0.0086
StaticAsteroids,0.03177
IsPointInPath,0.00832
MeasureText,0.00975
Rave,0.00864
